Location,Latitude,Longitude,Temperature,Weather,Description,Humidity,Pressure,Wind Speed,Timestamp
Bhadradri Kothagudem,17.69,80.7,303.01,Rain,light rain,80,1004,2.93,2024-08-22T09:29:13.106341+00:00
Jagtial,18.83,78.88,303.85,Clouds,overcast clouds,70,1004,3.12,2024-08-22T09:29:13.228670+00:00
Jangoan,17.75,79.28,301.75,Clouds,overcast clouds,76,1005,3.16,2024-08-22T09:29:13.305296+00:00
Mulugu,18.29,80.34,302.46,Clouds,overcast clouds,83,1004,3,2024-08-22T09:29:13.393242+00:00
Kamareddy,18.33,78.06,302.52,Rain,light rain,71,1004,3.54,2024-08-22T09:29:13.499628+00:00
Karimnagar,18.38,79.24,303.94,Clouds,overcast clouds,67,1004,4.59,2024-08-22T09:29:13.557563+00:00
Khammam,17.2,80.36,303.38,Rain,light rain,74,1004,3.7,2024-08-22T09:29:13.616717+00:00
Mahabubabad,17.67,79.99,299.84,Rain,light rain,89,1005,2.89,2024-08-22T09:29:13.717436+00:00
Mancherial,18.99,79.52,304.61,Clouds,overcast clouds,67,1004,2.74,2024-08-22T09:29:13.790488+00:00
Medak,17.96,78.26,302.01,Clouds,overcast clouds,72,1005,4.57,2024-08-22T09:29:13.897751+00:00
Nagarkurnool,16.39,78.59,301.54,Rain,light rain,70,1006,4.63,2024-08-22T09:29:14.046288+00:00
Nalgonda,16.88,79.19,304.66,Rain,light rain,61,1004,5.5,2024-08-22T09:29:14.128621+00:00
Nirmal,19.11,78.32,303.95,Clouds,broken clouds,69,1004,3.58,2024-08-22T09:29:14.570231+00:00
Nizamabad,18.7,78.2,303.5,Clouds,broken clouds,67,1004,3.3,2024-08-22T09:29:14.720198+00:00
Peddapalli,18.62,79.46,303.99,Clouds,overcast clouds,67,1004,3.79,2024-08-22T09:29:14.848149+00:00
Rajanna Sircilla,18.43,78.76,303.99,Clouds,overcast clouds,67,1004,4.14,2024-08-22T09:29:14.922725+00:00
Sangareddy,17.79,77.87,302.56,Clouds,overcast clouds,66,1005,5.74,2024-08-22T09:29:15.017588+00:00
Siddipet,18.01,78.85,302.42,Clouds,overcast clouds,68,1005,4.9,2024-08-22T09:29:15.117300+00:00
Vikarabad,17.25,77.75,301.24,Clouds,overcast clouds,73,1005,5.3,2024-08-22T09:29:15.223977+00:00
Wanaparthy,16.29,78.04,301.84,Clouds,overcast clouds,69,1005,5.55,2024-08-22T09:29:15.361069+00:00
Warangal Rural,17.92,79.75,300.3,Rain,moderate rain,85,1005,3.41,2024-08-22T09:29:15.444771+00:00
Warangal Urban,18.02,79.48,301.35,Rain,heavy intensity rain,80,1005,3.55,2024-08-22T09:29:15.542401+00:00
Yadadri Bhuvanagiri,17.46,79.0,302.98,Clouds,overcast clouds,67,1004,4.48,2024-08-22T09:29:15.639326+00:00
Narayanpet,16.65,77.58,301.15,Rain,light rain,73,1005,5.33,2024-08-22T09:29:15.700034+00:00
Jogulamba Gadwal,16.07,77.78,303.29,Clouds,overcast clouds,61,1005,6.56,2024-08-22T09:29:15.764041+00:00
Rangareddy,17.13,78.41,300.96,Mist,mist,78,1006,5.66,2024-08-22T09:29:15.898043+00:00
Suryapet,17.08,79.75,302.27,Rain,moderate rain,79,1004,0.93,2024-08-22T09:29:15.959772+00:00
Medchal Malkajgiri,17.54,78.56,301.74,Haze,haze,70,1005,5.14,2024-08-22T09:29:16.116863+00:00
Adilabad,19.52,78.57,303.19,Rain,light rain,69,1004,2.66,2024-08-22T09:29:16.175598+00:00
Hyderabad,17.4,78.47,302.27,Haze,haze,70,1005,5.66,2024-08-22T09:29:16.235059+00:00
Kumurambheem Asifabad,19.36,79.42,304.61,Clouds,overcast clouds,67,1004,1.78,2024-08-22T09:29:16.360300+00:00
Jayashankar Bhupalpally,18.5,79.93,303.03,Rain,light rain,78,1004,3.27,2024-08-22T09:29:16.425928+00:00
Mahabubnagar,16.76,77.99,300.04,Clouds,overcast clouds,77,1006,4.32,2024-08-22T09:29:16.489990+00:00
