Location,Latitude,Longitude,Temperature,Weather,Description,Humidity,Pressure,Wind Speed,Timestamp
Abdullapurmet,17.32,78.66,302.42,Clouds,overcast clouds,68,1005,6.01,2024-08-22T09:29:16.758261+00:00
Achampet,16.45,78.81,301.03,Rain,moderate rain,68,1005,4.92,2024-08-22T09:29:17.128608+00:00
Adavidevulapally,16.67,79.49,305.66,Rain,heavy intensity rain,58,1004,3.77,2024-08-22T09:29:17.272930+00:00
Addagudur,17.4,79.37,302.43,Clouds,overcast clouds,73,1004,3.17,2024-08-22T09:29:17.422925+00:00
Addakal,16.52,77.93,301.42,Clouds,overcast clouds,74,1006,4.69,2024-08-22T09:29:17.503538+00:00
Adilabad Rural,19.62,78.61,304.28,Rain,heavy intensity rain,68,1004,2.43,2024-08-22T09:29:17.584311+00:00
Adilabad Urban,19.67,78.54,304.61,Rain,heavy intensity rain,67,1004,2.19,2024-08-22T09:29:17.677722+00:00
Aiza,15.98,77.64,303.69,Clouds,overcast clouds,59,1005,6.77,2024-08-22T09:29:17.789483+00:00
Akkannapet,18.05,79.19,302.36,Rain,light rain,72,1004,4.14,2024-08-22T09:29:17.870487+00:00
Alair,17.65,79.08,302.49,Clouds,overcast clouds,71,1005,3.82,2024-08-22T09:29:17.956152+00:00
Alampur,15.92,78.13,304.08,Clouds,overcast clouds,58,1005,6.85,2024-08-22T09:29:18.123068+00:00
Alladurg,17.95,77.95,302.6,Clouds,overcast clouds,67,1004,4.75,2024-08-22T09:29:18.206434+00:00
Allapalli,17.91,80.52,301.61,Clouds,overcast clouds,85,1005,2.43,2024-08-22T09:29:18.290509+00:00
Alwal,17.52,78.52,301.77,Haze,haze,70,1005,5.14,2024-08-22T09:29:18.357962+00:00
Amangal,16.86,78.56,301.81,Rain,light rain,71,1006,5.99,2024-08-22T09:29:18.767054+00:00
Amarchintha,16.38,77.73,302.21,Clouds,overcast clouds,70,1005,5.73,2024-08-22T09:29:18.862245+00:00
Amberpet,17.39,78.51,302.45,Haze,haze,70,1005,5.66,2024-08-22T09:29:18.948265+00:00
Ammerpet,17.44,78.45,302.13,Haze,haze,70,1005,5.14,2024-08-22T09:29:19.044072+00:00
Amrabad,16.22,78.78,299.93,Clouds,overcast clouds,69,1006,4.42,2024-08-22T09:29:19.125912+00:00
Ananthagiri,17.06,79.98,301.88,Rain,light rain,79,1005,1.69,2024-08-22T09:29:19.214681+00:00
Andole,17.83,78.04,302.29,Clouds,overcast clouds,69,1005,5.14,2024-08-22T09:29:19.329064+00:00
Annapureddipalle,17.36,80.75,303.39,Rain,light rain,73,1004,4.12,2024-08-22T09:29:19.422939+00:00
Anumula_Haliya,16.82,79.29,305.04,Rain,moderate rain,60,1004,5.34,2024-08-22T09:29:19.495945+00:00
Armoor,18.83,78.26,304.11,Clouds,broken clouds,67,1004,3.08,2024-08-22T09:29:19.654641+00:00
Asifabad,19.35,79.25,304.64,Clouds,overcast clouds,67,1004,1.9,2024-08-22T09:29:19.727011+00:00
