district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Bhadradri Kothagudem,TSD0001,6974.14,"{ ""min"": 24.367647171020508, ""max"": 31.950952529907227, ""mean"": 28.638848458904111, ""count"": 1825, ""sum"": 52265.8984375, ""median"": 28.768999099731445 }","(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",01-01-2023.geojson,,,,,,
Jagtial,TSD0002,2853.09,"{ ""min"": 26.049129486083984, ""max"": 31.104736328125, ""mean"": 28.360240765171504, ""count"": 758, ""sum"": 21497.0625, ""median"": 28.235605239868164 }","(78.51948718900007, 18.563739734000023, 79.29767471800005, 19.07988819600007)",01-01-2023.geojson,,,,,,
Jangoan,TSD0003,2112.71,"{ ""min"": 26.912609100341797, ""max"": 31.708333969116211, ""mean"": 29.556707010286225, ""count"": 559, ""sum"": 16522.19921875, ""median"": 29.625652313232422 }","(78.86787166400006, 17.491730369000038, 79.56249112400008, 17.998869741000078)",01-01-2023.geojson,,,,,,
Mulugu,TSD0004,4189.02,"{ ""min"": 25.05181884765625, ""max"": 32.782726287841797, ""mean"": 28.009278662241226, ""count"": 1111, ""sum"": 31118.30859375, ""median"": 27.920000076293945 }","(79.81612732700006, 17.99631982000011, 80.7937048350002, 18.63260770700009)",01-01-2023.geojson,,,,,,
Kamareddy,TSD0005,3701.83,"{ ""min"": 23.297693252563477, ""max"": 33.557201385498047, ""mean"": 29.148235590455474, ""count"": 977, ""sum"": 28477.826171875, ""median"": 29.175216674804688 }","(77.52089201100006, 18.068441783000026, 78.56926485100007, 18.558842766000055)",01-01-2023.geojson,,,,,,
Karimnagar,TSD0006,2127.79,"{ ""min"": 24.14384651184082, ""max"": 30.163333892822266, ""mean"": 28.340607180791594, ""count"": 559, ""sum"": 15842.3994140625, ""median"": 28.466522216796875 }","(78.94956144100007, 18.132462591000035, 79.58025617800001, 18.678822129000025)",01-01-2023.geojson,,,,,,
Khammam,TSD0007,4491.25,"{ ""min"": 24.166471481323242, ""max"": 31.527999877929688, ""mean"": 28.895767106681035, ""count"": 1160, ""sum"": 33519.08984375, ""median"": 29.068958282470703 }","(79.80212475200005, 16.768789670000046, 80.92560532200008, 17.577896090000024)",01-01-2023.geojson,,,,,,
Mahabubabad,TSD0008,3551.04,"{ ""min"": 25.476316452026367, ""max"": 31.324285507202148, ""mean"": 28.814603848472668, ""count"": 933, ""sum"": 26884.025390625, ""median"": 28.850000381469727 }","(79.51293497700004, 17.321621569000058, 80.32312548900006, 18.106543834000092)",01-01-2023.geojson,,,,,,
Mancherial,TSD0009,3909.4,"{ ""min"": 25.425237655639648, ""max"": 32.027271270751953, ""mean"": 28.962851224783861, ""count"": 1041, ""sum"": 30150.328125, ""median"": 29.049999237060547 }","(78.87934684700008, 18.672040560000028, 79.96247775100005, 19.288073780000047)",01-01-2023.geojson,,,,,,
Medak,TSD0010,2771.68,"{ ""min"": 23.673076629638672, ""max"": 32.645198822021484, ""mean"": 29.182640213245492, ""count"": 721, ""sum"": 21040.68359375, ""median"": 29.159599304199219 }","(77.79480732300004, 17.664489015000072, 78.58893089700007, 18.215476757000033)",01-01-2023.geojson,,,,,,
