district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Bhadradri Kothagudem,TSD0001,6974.14,"{'min': -0.1675756871700287, 'max': 0.08582644164562225, 'mean': -0.08899927426690925, 'count': 1825, 'sum': -162.42367553710938, 'median': -0.09686020016670227}","(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",28-02-2023.geojson,,,,,,
Jagtial,TSD0002,2853.09,"{'min': -0.17371143400669098, 'max': 0.09241433441638947, 'mean': -0.028439363263213224, 'count': 758, 'sum': -21.557037353515625, 'median': -0.017864041030406952}","(78.51948718900007, 18.563739734000023, 79.29767471800005, 19.07988819600007)",28-02-2023.geojson,,,,,,
Jangoan,TSD0003,2112.71,"{'min': -0.12316367030143738, 'max': 0.05496592819690704, 'mean': -0.04521404396016184, 'count': 559, 'sum': -25.27465057373047, 'median': -0.047407183796167374}","(78.86787166400006, 17.491730369000038, 79.56249112400008, 17.998869741000078)",28-02-2023.geojson,,,,,,
Mulugu,TSD0004,4189.02,"{'min': -0.1864941418170929, 'max': 0.11286939680576324, 'mean': -0.09347153740032206, 'count': 1111, 'sum': -103.84687805175781, 'median': -0.1035110354423523}","(79.81612732700006, 17.99631982000011, 80.7937048350002, 18.63260770700009)",28-02-2023.geojson,,,,,,
Kamareddy,TSD0005,3701.83,"{'min': -0.15871281921863556, 'max': 0.26139551401138306, 'mean': -0.04398088640663982, 'count': 977, 'sum': -42.96932601928711, 'median': -0.05081986263394356}","(77.52089201100006, 18.068441783000026, 78.56926485100007, 18.558842766000055)",28-02-2023.geojson,,,,,,
Karimnagar,TSD0006,2127.79,"{'min': -0.08004205673933029, 'max': 0.11732975393533707, 'mean': 0.021318191705748092, 'count': 559, 'sum': 11.916869163513184, 'median': 0.01995750330388546}","(78.94956144100007, 18.132462591000035, 79.58025617800001, 18.678822129000025)",28-02-2023.geojson,,,,,,
Khammam,TSD0007,4491.25,"{'min': -0.15495596826076508, 'max': 0.08807547390460968, 'mean': -0.02239300300335062, 'count': 1160, 'sum': -25.97588348388672, 'median': -0.026241198182106018}","(79.80212475200005, 16.768789670000046, 80.92560532200008, 17.577896090000024)",28-02-2023.geojson,,,,,,
Mahabubabad,TSD0008,3551.04,"{'min': -0.2029918134212494, 'max': 0.057769861072301865, 'mean': -0.06411959044036375, 'count': 933, 'sum': -59.823577880859375, 'median': -0.05272725224494934}","(79.51293497700004, 17.321621569000058, 80.32312548900006, 18.106543834000092)",28-02-2023.geojson,,,,,,
Mancherial,TSD0009,3909.4,"{'min': -0.16888627409934998, 'max': 0.07471771538257599, 'mean': -0.0845516325760987, 'count': 1041, 'sum': -88.01824951171875, 'median': -0.0930667370557785}","(78.87934684700008, 18.672040560000028, 79.96247775100005, 19.288073780000047)",28-02-2023.geojson,,,,,,
Medak,TSD0010,2771.68,"{'min': -0.1578899770975113, 'max': 0.18060065805912018, 'mean': -0.05274919993999762, 'count': 721, 'sum': -38.03217315673828, 'median': -0.060914941132068634}","(77.79480732300004, 17.664489015000072, 78.58893089700007, 18.215476757000033)",28-02-2023.geojson,,,,,,
Nagarkurnool,TSD0011,6399.07,"{'min': -0.16387443244457245, 'max': 0.048384666442871094, 'mean': -0.09040132421338755, 'count': 1639, 'sum': -148.1677703857422, 'median': -0.09128561615943909}","(78.10083116400006, 16.00532167600005, 79.23432760400004, 16.830959432000043)",28-02-2023.geojson,,,,,,
Nalgonda,TSD0012,7218.26,"{'min': -0.18356983363628387, 'max': 0.20744802057743073, 'mean': -0.03501552601970693, 'count': 1890, 'sum': -66.1793441772461, 'median': -0.04590173438191414}","(78.62614167300006, 16.35584791900004, 79.70200312500003, 17.35996707100003)",28-02-2023.geojson,,,,,,
Nirmal,TSD0013,3729.13,"{'min': -0.1720656156539917, 'max': 0.31416723132133484, 'mean': -0.05396114083760682, 'count': 991, 'sum': -53.47549057006836, 'median': -0.049295395612716675}","(77.76173454100007, 18.84522452500005, 78.95237500500008, 19.342882151000026)",28-02-2023.geojson,,,,,,
Nizamabad,TSD0014,4168.33,"{'min': -0.14791646599769592, 'max': 0.247100830078125, 'mean': -0.001899517416196125, 'count': 1101, 'sum': -2.0913686752319336, 'median': 0.009701988659799099}","(77.73094369300003, 18.43404349700006, 78.64029038200005, 19.015710890000037)",28-02-2023.geojson,,,,,,
Peddapalli,TSD0015,2195.39,"{'min': -0.15236572921276093, 'max': 0.11530329287052155, 'mean': -0.013517373206279533, 'count': 582, 'sum': -7.8671112060546875, 'median': -0.002541949041187763}","(79.11294947900006, 18.385471986000027, 79.83268954900007, 18.854875013000026)",28-02-2023.geojson,,,,,,
Rajanna Sircilla,TSD0016,1897.97,"{'min': -0.15103769302368164, 'max': 0.11362334340810776, 'mean': -0.04250367104061066, 'count': 504, 'sum': -21.421850204467773, 'median': -0.042947109788656235}","(78.52078465300008, 18.21376387500004, 79.02266919100003, 18.69041016700004)",28-02-2023.geojson,,,,,,
Sangareddy,TSD0017,4460.37,"{'min': -0.1428719162940979, 'max': 0.16205772757530212, 'mean': -0.07234832867473161, 'count': 1176, 'sum': -85.08163452148438, 'median': -0.07880258560180664}","(77.44416825100006, 17.42785604100004, 78.44886573200006, 18.309307690000026)",28-02-2023.geojson,,,,,,
Siddipet,TSD0018,3637.17,"{'min': -0.13934247195720673, 'max': 0.07249684631824493, 'mean': -0.053028945214239065, 'count': 969, 'sum': -51.385047912597656, 'median': -0.05491894111037254}","(78.49289586600008, 17.667265188000044, 79.30335584600004, 18.34315846100003)",28-02-2023.geojson,,,,,,
Vikarabad,TSD0019,3618.96,"{'min': -0.14698611199855804, 'max': 0.010267832316458225, 'mean': -0.08729460476316811, 'count': 946, 'sum': -82.58069610595703, 'median': -0.08750677108764648}","(77.36247981800005, 16.90300025500005, 78.07315782100005, 17.637813938000022)",28-02-2023.geojson,,,,,,
Wanaparthy,TSD0020,2174.67,"{'min': -0.14476127922534943, 'max': 0.06308813393115997, 'mean': -0.05253944797816502, 'count': 571, 'sum': -30.000024795532227, 'median': -0.059325143694877625}","(77.65718116, 15.94285645900004, 78.31347526600007, 16.626992442000073)",28-02-2023.geojson,,,,,,
Warangal Rural,TSD0021,2139.98,"{'min': -0.1672983020544052, 'max': 0.07940296828746796, 'mean': -0.010797164903630726, 'count': 571, 'sum': -6.1651811599731445, 'median': -0.009438171051442623}","(79.47950597500005, 17.619303173000105, 80.04124404200007, 18.279223933000026)",28-02-2023.geojson,,,,,,
Warangal Urban,TSD0022,1294.45,"{'min': -0.10374017804861069, 'max': 0.09444871544837952, 'mean': -0.015866600765901455, 'count': 340, 'sum': -5.394644260406494, 'median': -0.02108505368232727}","(79.23082975700004, 17.786163054000042, 79.67163482100005, 18.266255774000058)",28-02-2023.geojson,,,,,,
Yadadri Bhuvanagiri,TSD0023,3422.72,"{'min': -0.14464117586612701, 'max': 0.09268273413181305, 'mean': -0.05031040373705865, 'count': 901, 'sum': -45.329673767089844, 'median': -0.058035608381032944}","(78.68260567800007, 17.04419639500003, 79.45808114400006, 17.812669696000114)",28-02-2023.geojson,,,,,,
Narayanpet,TSD0024,2380.13,"{'min': -0.14918117225170135, 'max': 0.15358217060565948, 'mean': -0.08498531784831795, 'count': 611, 'sum': -51.926029205322266, 'median': -0.09281134605407715}","(77.23725451100006, 16.34148046400003, 77.79666638000009, 17.061726844000077)",28-02-2023.geojson,,,,,,
Jogulamba Gadwal,TSD0025,2574.21,"{'min': -0.12459777295589447, 'max': 0.14353160560131073, 'mean': -0.04058920494595865, 'count': 665, 'sum': -26.9918212890625, 'median': -0.04074771702289581}","(77.48561464400007, 15.836429923000026, 78.25321888900004, 16.362950969000053)",28-02-2023.geojson,,,,,,
Rangareddy,TSD0026,4997.54,"{'min': -0.14649932086467743, 'max': 0.04020475223660469, 'mean': -0.09080332553747929, 'count': 1320, 'sum': -119.86038970947266, 'median': -0.09269261360168457}","(77.92190617600005, 16.744225033000077, 78.84397639500008, 17.522654105000072)",28-02-2023.geojson,,,,,,
Suryapet,TSD0027,3584.22,"{'min': -0.11028556525707245, 'max': 0.09823029488325119, 'mean': 0.020545997984477742, 'count': 941, 'sum': 19.333784103393555, 'median': 0.023535918444395065}","(79.36051795300006, 16.63122235000003, 80.07318026800004, 17.526066134000075)",28-02-2023.geojson,,,,,,
Medchal Malkajgiri,TSD0028,1088.52,"{'min': -0.13432681560516357, 'max': 0.03585464507341385, 'mean': -0.07358384132385254, 'count': 288, 'sum': -21.19214630126953, 'median': -0.07655200362205505}","(78.34798865200008, 17.361463480000054, 78.75985781500003, 17.70854524600003)",28-02-2023.geojson,,,,,,
Adilabad,TSD0029,3980.34,"{'min': -0.18653546273708344, 'max': 0.05606711283326149, 'mean': -0.09220479476005268, 'count': 1041, 'sum': -95.98519134521484, 'median': -0.10497692972421646}","(78.17215629700007, 19.17277807100004, 78.97780562900004, 19.91690008100005)",28-02-2023.geojson,,,,,,
Hyderabad,TSD0030,182.64,"{'min': -0.07772539556026459, 'max': 0.06640622764825821, 'mean': -0.036162366469701133, 'count': 48, 'sum': -1.7357935905456543, 'median': -0.036898523569107056}","(78.38267903300004, 17.293465379000054, 78.55019026600007, 17.483791793000023)",28-02-2023.geojson,,,,,,
Kumurambheem Asifabad,TSD0031,4495.32,"{'min': -0.1704799383878708, 'max': 0.0007221314590424299, 'mean': -0.10011286340187447, 'count': 1182, 'sum': -118.33340454101562, 'median': -0.09822133183479309}","(78.80016529900007, 19.050559607000025, 79.97913072000006, 19.617151517000025)",28-02-2023.geojson,,,,,,
Jayashankar Bhupalpally,TSD0032,2946.01,"{'min': -0.14227502048015594, 'max': 0.10427290201187134, 'mean': -0.07133324451935596, 'count': 780, 'sum': -55.639930725097656, 'median': -0.0875086635351181}","(79.55918339200008, 18.156703452000045, 80.34460111152396, 18.869152369000062)",28-02-2023.geojson,,,,,,
Mahabubnagar,TSD0033,2749.62,"{'min': -0.15518583357334137, 'max': 0.05016971379518509, 'mean': -0.0859524681957805, 'count': 722, 'sum': -62.057682037353516, 'median': -0.08935580402612686}","(77.67537161200016, 16.378530416000103, 78.369893344, 17.01442864699999)",28-02-2023.geojson,,,,,,
Bhadradri Kothagudem,TSD0001,6974.14,"{'min': -0.13542987406253815, 'max': 0.0894370749592781, 'mean': -0.06174430951680222, 'count': 1825, 'sum': -112.68336486816406, 'median': -0.0628165751695633}","(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",31-01-2023.geojson,,,,,,
Jagtial,TSD0002,2853.09,"{'min': -0.15173405408859253, 'max': 0.12668025493621826, 'mean': -0.02344165942914253, 'count': 758, 'sum': -17.76877784729004, 'median': -0.01879393309354782}","(78.51948718900007, 18.563739734000023, 79.29767471800005, 19.07988819600007)",31-01-2023.geojson,,,,,,
Jangoan,TSD0003,2112.71,"{'min': -0.10871315747499466, 'max': 0.0707138255238533, 'mean': -0.040575242426399684, 'count': 559, 'sum': -22.681560516357422, 'median': -0.042864613234996796}","(78.86787166400006, 17.491730369000038, 79.56249112400008, 17.998869741000078)",31-01-2023.geojson,,,,,,
Mulugu,TSD0004,4189.02,"{'min': -0.13841210305690765, 'max': 0.07479454576969147, 'mean': -0.06631123622616168, 'count': 1111, 'sum': -73.67178344726562, 'median': -0.07244109362363815}","(79.81612732700006, 17.99631982000011, 80.7937048350002, 18.63260770700009)",31-01-2023.geojson,,,,,,
