district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Bhadradri Kothagudem,TSD0001,6974.14,"{ ""min"": 5.8140740694807052e-05, ""max"": 0.00019631363753338908, ""mean"": 8.0578608595455024e-05, ""count"": 1825, ""sum"": 0.14705596068670543, ""median"": 7.4044295603894117e-05 }","(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",01-01-2023.geojson,,,,,,
Jagtial,TSD0002,2853.09,"{ ""min"": 6.445514899648486e-05, ""max"": 0.00010686363593871427, ""mean"": 7.1212197064746054e-05, ""count"": 758, ""sum"": 0.053978845375077508, ""median"": 6.9795579921264511e-05 }","(78.51948718900007, 18.563739734000023, 79.29767471800005, 19.07988819600007)",01-01-2023.geojson,,,,,,
Jangoan,TSD0003,2112.71,"{ ""min"": 6.1169045038943383e-05, ""max"": 7.1291189690348992e-05, ""mean"": 6.6094613763399162e-05, ""count"": 559, ""sum"": 0.03694688909374013, ""median"": 6.5846605777330363e-05 }","(78.86787166400006, 17.491730369000038, 79.56249112400008, 17.998869741000078)",01-01-2023.geojson,,,,,,
Mulugu,TSD0004,4189.02,"{ ""min"": 6.3086230246335885e-05, ""max"": 0.00012754396871810371, ""mean"": 7.3677224816338309e-05, ""count"": 1111, ""sum"": 0.081855396770951855, ""median"": 7.043185707180459e-05 }","(79.81612732700006, 17.99631982000011, 80.7937048350002, 18.63260770700009)",01-01-2023.geojson,,,,,,
Kamareddy,TSD0005,3701.83,"{ ""min"": 6.3835575104134116e-05, ""max"": 7.8993552706050152e-05, ""mean"": 6.9353304049618827e-05, ""count"": 977, ""sum"": 0.067758178056477589, ""median"": 6.9345421034016294e-05 }","(77.52089201100006, 18.068441783000026, 78.56926485100007, 18.558842766000055)",01-01-2023.geojson,,,,,,
Karimnagar,TSD0006,2127.79,"{ ""min"": 6.9270000544755517e-05, ""max"": 9.3657076479994865e-05, ""mean"": 7.8894494458829493e-05, ""count"": 559, ""sum"": 0.044102022402485688, ""median"": 7.8638605776231167e-05 }","(78.94956144100007, 18.132462591000035, 79.58025617800001, 18.678822129000025)",01-01-2023.geojson,,,,,,
Khammam,TSD0007,4491.25,"{ ""min"": 6.1214896852858106e-05, ""max"": 9.9372609023204328e-05, ""mean"": 7.4392194222830027e-05, ""count"": 1160, ""sum"": 0.086294945298482834, ""median"": 7.4061732053595038e-05 }","(79.80212475200005, 16.768789670000046, 80.92560532200008, 17.577896090000024)",01-01-2023.geojson,,,,,,
Mahabubabad,TSD0008,3551.04,"{ ""min"": 6.4052577810943422e-05, ""max"": 7.7563169756046055e-05, ""mean"": 7.1079127397568123e-05, ""count"": 933, ""sum"": 0.066316825861931064, ""median"": 7.1400498717935846e-05 }","(79.51293497700004, 17.321621569000058, 80.32312548900006, 18.106543834000092)",01-01-2023.geojson,,,,,,
Mancherial,TSD0009,3909.4,"{ ""min"": 6.4808299639318505e-05, ""max"": 0.00026596060047461429, ""mean"": 0.00010649605455429686, ""count"": 1041, ""sum"": 0.11086239279102303, ""median"": 8.9672098848266247e-05 }","(78.87934684700008, 18.672040560000028, 79.96247775100005, 19.288073780000047)",01-01-2023.geojson,,,,,,
Medak,TSD0010,2771.68,"{ ""min"": 6.4167533951850451e-05, ""max"": 8.6315146600044024e-05, ""mean"": 7.4077243564916204e-05, ""count"": 721, ""sum"": 0.053409692610304579, ""median"": 7.3705555372901516e-05 }","(77.79480732300004, 17.664489015000072, 78.58893089700007, 18.215476757000033)",01-01-2023.geojson,,,,,,
Nagarkurnool,TSD0011,6399.07,"{ ""min"": 5.1076478888789894e-05, ""max"": 6.7110372262745247e-05, ""mean"": 5.8057658878400986e-05, ""count"": 1639, ""sum"": 0.095156502901699219, ""median"": 5.7943078575244805e-05 }","(78.10083116400006, 16.00532167600005, 79.23432760400004, 16.830959432000043)",01-01-2023.geojson,,,,,,
Nalgonda,TSD0012,7218.26,"{ ""min"": 5.456910547158995e-05, ""max"": 9.8457191400805018e-05, ""mean"": 6.4211396740306514e-05, ""count"": 1890, ""sum"": 0.1213595398391793, ""median"": 6.2864596995630678e-05 }","(78.62614167300006, 16.35584791900004, 79.70200312500003, 17.35996707100003)",01-01-2023.geojson,,,,,,
Nirmal,TSD0013,3729.13,"{ ""min"": 6.4335114216614722e-05, ""max"": 7.5272606030781663e-05, ""mean"": 6.9150590360970993e-05, ""count"": 991, ""sum"": 0.06852823504772225, ""median"": 6.9163820692558578e-05 }","(77.76173454100007, 18.84522452500005, 78.95237500500008, 19.342882151000026)",01-01-2023.geojson,,,,,,
Nizamabad,TSD0014,4168.33,"{ ""min"": 6.2422524805393688e-05, ""max"": 7.4585070741319369e-05, ""mean"": 6.7612452031714322e-05, ""count"": 1101, ""sum"": 0.074441309686917465, ""median"": 6.7442951099422346e-05 }","(77.73094369300003, 18.43404349700006, 78.64029038200005, 19.015710890000037)",01-01-2023.geojson,,,,,,
Peddapalli,TSD0015,2195.39,"{ ""min"": 7.8543852018191985e-05, ""max"": 0.00029092233003836962, ""mean"": 0.00011577997614737497, ""count"": 582, ""sum"": 0.067383946117772237, ""median"": 0.00010098857910543262 }","(79.11294947900006, 18.385471986000027, 79.83268954900007, 18.854875013000026)",01-01-2023.geojson,,,,,,
Rajanna Sircilla,TSD0016,1897.97,"{ ""min"": 6.4562635905318145e-05, ""max"": 8.0263388578622933e-05, ""mean"": 7.2348679027430522e-05, ""count"": 504, ""sum"": 0.036463734229824983, ""median"": 7.283609182899217e-05 }","(78.52078465300008, 18.21376387500004, 79.02266919100003, 18.69041016700004)",01-01-2023.geojson,,,,,,
Sangareddy,TSD0017,4460.37,"{ ""min"": 6.347723165121972e-05, ""max"": 0.00012284907028729599, ""mean"": 7.5092279660836933e-05, ""count"": 1176, ""sum"": 0.088308520881144228, ""median"": 7.1529621209436754e-05 }","(77.44416825100006, 17.42785604100004, 78.44886573200006, 18.309307690000026)",01-01-2023.geojson,,,,,,
Siddipet,TSD0018,3637.17,"{ ""min"": 6.3950142741343155e-05, ""max"": 8.8291788638611378e-05, ""mean"": 7.2526990507705319e-05, ""count"": 969, ""sum"": 0.070278653801966448, ""median"": 7.2004570717777938e-05 }","(78.49289586600008, 17.667265188000044, 79.30335584600004, 18.34315846100003)",01-01-2023.geojson,,,,,,
Vikarabad,TSD0019,3618.96,"{ ""min"": 6.3753468741887439e-05, ""max"": 0.0001260079655904562, ""mean"": 7.0449562087385184e-05, ""count"": 946, ""sum"": 0.066645285734666382, ""median"": 6.9479918931715095e-05 }","(77.36247981800005, 16.90300025500005, 78.07315782100005, 17.637813938000022)",01-01-2023.geojson,,,,,,
Wanaparthy,TSD0020,2174.67,"{ ""min"": 5.7678352893736943e-05, ""max"": 6.7396918250675966e-05, ""mean"": 6.2406252945379837e-05, ""count"": 571, ""sum"": 0.035633970431811886, ""median"": 6.2403168145555265e-05 }","(77.65718116, 15.94285645900004, 78.31347526600007, 16.626992442000073)",01-01-2023.geojson,,,,,,
