district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Bhadradri Kothagudem,TSD0001,6974.14,"{ ""min"": 0.00055456685367971659, ""max"": 0.0012094203848391771, ""mean"": 0.00058625332049785125, ""count"": 62, ""sum"": 0.036347705870866776, ""median"": 0.00055456685367971659 }","(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",28-02-2023.geojson,,,,,,
Jagtial,TSD0002,2853.09,"{ ""min"": 0.00055456685367971659, ""max"": 0.00055456685367971659, ""mean"": 0.00055456684472469182, ""count"": 26, ""sum"": 0.014418737962841988, ""median"": 0.00055456685367971659 }","(78.51948718900007, 18.563739734000023, 79.29767471800005, 19.07988819600007)",28-02-2023.geojson,,,,,,
Jangoan,TSD0003,2112.71,"{ ""min"": 0.00055456685367971659, ""max"": 0.0012094203848391771, ""mean"": 0.00058903280449540993, ""count"": 19, ""sum"": 0.011191623285412788, ""median"": 0.00055456685367971659 }","(78.86787166400006, 17.491730369000038, 79.56249112400008, 17.998869741000078)",28-02-2023.geojson,,,,,,
Mulugu,TSD0004,4189.02,"{ ""min"": 0.00055456685367971659, ""max"": 0.00055456685367971659, ""mean"": 0.00055456685053335657, ""count"": 37, ""sum"": 0.020518973469734192, ""median"": 0.00055456685367971659 }","(79.81612732700006, 17.99631982000011, 80.7937048350002, 18.63260770700009)",28-02-2023.geojson,,,,,,
Kamareddy,TSD0005,3701.83,"{ ""min"": 0.00055456685367971659, ""max"": 0.00055456685367971659, ""mean"": 0.00055456687422359688, ""count"": 34, ""sum"": 0.018855273723602295, ""median"": 0.00055456685367971659 }","(77.52089201100006, 18.068441783000026, 78.56926485100007, 18.558842766000055)",28-02-2023.geojson,,,,,,
Karimnagar,TSD0006,2127.79,"{ ""min"": 0.00055456685367971659, ""max"": 0.00055456685367971659, ""mean"": 0.00055456684074468084, ""count"": 18, ""sum"": 0.0099822031334042549, ""median"": 0.00055456685367971659 }","(78.94956144100007, 18.132462591000035, 79.58025617800001, 18.678822129000025)",28-02-2023.geojson,,,,,,
Khammam,TSD0007,4491.25,"{ ""min"": 0.00055456685367971659, ""max"": 0.0012094203848391771, ""mean"": 0.00057053888534627306, ""count"": 41, ""sum"": 0.023392094299197197, ""median"": 0.00055456685367971659 }","(79.80212475200005, 16.768789670000046, 80.92560532200008, 17.577896090000024)",28-02-2023.geojson,,,,,,
Mahabubabad,TSD0008,3551.04,"{ ""min"": 0.00055456685367971659, ""max"": 0.0012094203848391771, ""mean"": 0.00062231032242035045, ""count"": 29, ""sum"": 0.018046999350190163, ""median"": 0.00055456685367971659 }","(79.51293497700004, 17.321621569000058, 80.32312548900006, 18.106543834000092)",28-02-2023.geojson,,,,,,
Mancherial,TSD0009,3909.4,"{ ""min"": 0.00055456685367971659, ""max"": 0.00055456685367971659, ""mean"": 0.00055456685367971659, ""count"": 32, ""sum"": 0.017746139317750931, ""median"": 0.00055456685367971659 }","(78.87934684700008, 18.672040560000028, 79.96247775100005, 19.288073780000047)",28-02-2023.geojson,,,,,,
Medak,TSD0010,2771.68,"{ ""min"": 0.00055456685367971659, ""max"": 0.00055456685367971659, ""mean"": 0.0005545668303966522, ""count"": 25, ""sum"": 0.013864170759916306, ""median"": 0.00055456685367971659 }","(77.79480732300004, 17.664489015000072, 78.58893089700007, 18.215476757000033)",28-02-2023.geojson,,,,,,
