district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Bhadradri Kothagudem,TSD0001,6974.14,"{ ""min"": 0.0, ""max"": 805.0, ""mean"": 226.48500137523206, ""count"": 116344, ""sum"": 26350171.0, ""median"": 203.0 }","(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",01-01-2020.geojson,,,,,,
Jagtial,TSD0002,2853.09,"{ ""min"": 0.0, ""max"": 529.0, ""mean"": 147.09925956825529, ""count"": 47945, ""sum"": 7052674.0, ""median"": 142.0 }","(78.51948718900007, 18.563739734000023, 79.29767471800005, 19.07988819600007)",01-01-2020.geojson,,,,,,
Jangoan,TSD0003,2112.71,"{ ""min"": 0.0, ""max"": 498.0, ""mean"": 186.29348502858437, ""count"": 35334, ""sum"": 6582494.0, ""median"": 161.0 }","(78.86787166400006, 17.491730369000038, 79.56249112400008, 17.998869741000078)",01-01-2020.geojson,,,,,,
Mulugu,TSD0004,4189.02,"{ ""min"": 0.0, ""max"": 866.0, ""mean"": 252.38718222602009, ""count"": 70215, ""sum"": 17721366.0, ""median"": 243.0 }","(79.81612732700006, 17.99631982000011, 80.7937048350002, 18.63260770700009)",01-01-2020.geojson,,,,,,
Kamareddy,TSD0005,3701.83,"{ ""min"": 0.0, ""max"": 502.0, ""mean"": 155.40090788665955, ""count"": 61902, ""sum"": 9619627.0, ""median"": 155.0 }","(77.52089201100006, 18.068441783000026, 78.56926485100007, 18.558842766000055)",01-01-2020.geojson,,,,,,
Karimnagar,TSD0006,2127.79,"{ ""min"": 0.0, ""max"": 468.0, ""mean"": 158.60497253055274, ""count"": 35676, ""sum"": 5658391.0, ""median"": 158.0 }","(78.94956144100007, 18.132462591000035, 79.58025617800001, 18.678822129000025)",01-01-2020.geojson,,,,,,
Khammam,TSD0007,4491.25,"{ ""min"": 0.0, ""max"": 755.0, ""mean"": 235.35952438338555, ""count"": 74682, ""sum"": 17577120.0, ""median"": 209.0 }","(79.80212475200005, 16.768789670000046, 80.92560532200008, 17.577896090000024)",01-01-2020.geojson,,,,,,
Mahabubabad,TSD0008,3551.04,"{ ""min"": 0.0, ""max"": 934.0, ""mean"": 234.19282080652226, ""count"": 59366, ""sum"": 13903091.0, ""median"": 205.0 }","(79.51293497700004, 17.321621569000058, 80.32312548900006, 18.106543834000092)",01-01-2020.geojson,,,,,,
Mancherial,TSD0009,3909.4,"{ ""min"": 0.0, ""max"": 539.0, ""mean"": 166.21339720194646, ""count"": 65760, ""sum"": 10930193.0, ""median"": 151.0 }","(78.87934684700008, 18.672040560000028, 79.96247775100005, 19.288073780000047)",01-01-2020.geojson,,,,,,
Medak,TSD0010,2771.68,"{ ""min"": 0.0, ""max"": 484.0, ""mean"": 140.94831533477321, ""count"": 46300, ""sum"": 6525907.0, ""median"": 138.0 }","(77.79480732300004, 17.664489015000072, 78.58893089700007, 18.215476757000033)",01-01-2020.geojson,,,,,,
Nagarkurnool,TSD0011,6399.07,"{ ""min"": 0.0, ""max"": 828.0, ""mean"": 225.80798256702451, ""count"": 106006, ""sum"": 23937001.0, ""median"": 196.0 }","(78.10083116400006, 16.00532167600005, 79.23432760400004, 16.830959432000043)",01-01-2020.geojson,,,,,,
Nalgonda,TSD0012,7218.26,"{ ""min"": 0.0, ""max"": 672.0, ""mean"": 243.81574603598045, ""count"": 119954, ""sum"": 29246674.0, ""median"": 224.0 }","(78.62614167300006, 16.35584791900004, 79.70200312500003, 17.35996707100003)",01-01-2020.geojson,,,,,,
Nirmal,TSD0013,3729.13,"{ ""min"": 0.0, ""max"": 645.0, ""mean"": 140.53483878180046, ""count"": 62617, ""sum"": 8799870.0, ""median"": 136.0 }","(77.76173454100007, 18.84522452500005, 78.95237500500008, 19.342882151000026)",01-01-2020.geojson,,,,,,
Nizamabad,TSD0014,4168.33,"{ ""min"": 0.0, ""max"": 601.0, ""mean"": 139.13045468852835, ""count"": 69894, ""sum"": 9724384.0, ""median"": 139.0 }","(77.73094369300003, 18.43404349700006, 78.64029038200005, 19.015710890000037)",01-01-2020.geojson,,,,,,
Peddapalli,TSD0015,2195.39,"{ ""min"": 0.0, ""max"": 559.0, ""mean"": 172.39536838679936, ""count"": 36877, ""sum"": 6357424.0, ""median"": 166.0 }","(79.11294947900006, 18.385471986000027, 79.83268954900007, 18.854875013000026)",01-01-2020.geojson,,,,,,
Rajanna Sircilla,TSD0016,1897.97,"{ ""min"": 0.0, ""max"": 412.0, ""mean"": 148.91997360731455, ""count"": 31827, ""sum"": 4739676.0, ""median"": 145.0 }","(78.52078465300008, 18.21376387500004, 79.02266919100003, 18.69041016700004)",01-01-2020.geojson,,,,,,
Sangareddy,TSD0017,4460.37,"{ ""min"": 0.0, ""max"": 512.0, ""mean"": 137.39245105295029, ""count"": 74315, ""sum"": 10210320.0, ""median"": 139.0 }","(77.44416825100006, 17.42785604100004, 78.44886573200006, 18.309307690000026)",01-01-2020.geojson,,,,,,
Siddipet,TSD0018,3637.17,"{ ""min"": 0.0, ""max"": 448.0, ""mean"": 155.50414351014501, ""count"": 60818, ""sum"": 9457451.0, ""median"": 150.0 }","(78.49289586600008, 17.667265188000044, 79.30335584600004, 18.34315846100003)",01-01-2020.geojson,,,,,,
Vikarabad,TSD0019,3618.96,"{ ""min"": 0.0, ""max"": 457.0, ""mean"": 153.96648918469219, ""count"": 60100, ""sum"": 9253386.0, ""median"": 153.0 }","(77.36247981800005, 16.90300025500005, 78.07315782100005, 17.637813938000022)",01-01-2020.geojson,,,,,,
Wanaparthy,TSD0020,2174.67,"{ ""min"": 0.0, ""max"": 625.0, ""mean"": 214.71645850679988, ""count"": 36030, ""sum"": 7736234.0, ""median"": 174.0 }","(77.65718116, 15.94285645900004, 78.31347526600007, 16.626992442000073)",01-01-2020.geojson,,,,,,
Warangal Rural,TSD0021,2139.98,"{ ""min"": 0.0, ""max"": 684.0, ""mean"": 204.86845045246341, ""count"": 35804, ""sum"": 7335110.0, ""median"": 170.0 }","(79.47950597500005, 17.619303173000105, 80.04124404200007, 18.279223933000026)",01-01-2020.geojson,,,,,,
Warangal Urban,TSD0022,1294.45,"{ ""min"": 0.0, ""max"": 544.0, ""mean"": 162.27748255625895, ""count"": 21641, ""sum"": 3511847.0, ""median"": 162.0 }","(79.23082975700004, 17.786163054000042, 79.67163482100005, 18.266255774000058)",01-01-2020.geojson,,,,,,
Yadadri Bhuvanagiri,TSD0023,3422.72,"{ ""min"": 0.0, ""max"": 460.0, ""mean"": 194.42290779769101, ""count"": 57081, ""sum"": 11097854.0, ""median"": 161.0 }","(78.68260567800007, 17.04419639500003, 79.45808114400006, 17.812669696000114)",01-01-2020.geojson,,,,,,
