district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Bhadradri Kothagudem,TSD0001,6974.14,"{ ""min"": 0.16151808202266693, ""max"": 0.29356074333190918, ""mean"": 0.20621715806934932, ""count"": 1825, ""sum"": 376.3463134765625, ""median"": 0.2053837776184082 }","(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",28-02-2023.geojson,,,,,,
Jagtial,TSD0002,2853.09,"{ ""min"": 0.32942435145378113, ""max"": 0.36811831593513489, ""mean"": 0.34419169966966934, ""count"": 758, ""sum"": 260.89730834960938, ""median"": 0.34528303146362305 }","(78.51948718900007, 18.563739734000023, 79.29767471800005, 19.07988819600007)",28-02-2023.geojson,,,,,,
Jangoan,TSD0003,2112.71,"{ ""min"": 0.28108066320419312, ""max"": 0.34512612223625183, ""mean"": 0.31369144118962433, ""count"": 559, ""sum"": 175.353515625, ""median"": 0.31287860870361328 }","(78.86787166400006, 17.491730369000038, 79.56249112400008, 17.998869741000078)",28-02-2023.geojson,,,,,,
Mulugu,TSD0004,4189.02,"{ ""min"": 0.21077603101730347, ""max"": 0.36698544025421143, ""mean"": 0.25438700486259563, ""count"": 1111, ""sum"": 282.62396240234375, ""median"": 0.23841576278209686 }","(79.81612732700006, 17.99631982000011, 80.7937048350002, 18.63260770700009)",28-02-2023.geojson,,,,,,
Kamareddy,TSD0005,3701.83,"{ ""min"": 0.20211112499237061, ""max"": 0.3583642840385437, ""mean"": 0.32371759951541712, ""count"": 977, ""sum"": 316.2720947265625, ""median"": 0.33594489097595215 }","(77.52089201100006, 18.068441783000026, 78.56926485100007, 18.558842766000055)",28-02-2023.geojson,,,,,,
Karimnagar,TSD0006,2127.79,"{ ""min"": 0.34257039427757263, ""max"": 0.39581036567687988, ""mean"": 0.36964842330577763, ""count"": 559, ""sum"": 206.63346862792969, ""median"": 0.37059512734413147 }","(78.94956144100007, 18.132462591000035, 79.58025617800001, 18.678822129000025)",28-02-2023.geojson,,,,,,
Khammam,TSD0007,4491.25,"{ ""min"": 0.17963981628417969, ""max"": 0.34207624197006226, ""mean"": 0.29391984610721983, ""count"": 1160, ""sum"": 340.947021484375, ""median"": 0.30063417553901672 }","(79.80212475200005, 16.768789670000046, 80.92560532200008, 17.577896090000024)",28-02-2023.geojson,,,,,,
Mahabubabad,TSD0008,3551.04,"{ ""min"": 0.192794069647789, ""max"": 0.37049755454063416, ""mean"": 0.29385915676497187, ""count"": 933, ""sum"": 274.17059326171875, ""median"": 0.31084391474723816 }","(79.51293497700004, 17.321621569000058, 80.32312548900006, 18.106543834000092)",28-02-2023.geojson,,,,,,
Mancherial,TSD0009,3909.4,"{ ""min"": 0.18719868361949921, ""max"": 0.35389667749404907, ""mean"": 0.27750727262322888, ""count"": 1041, ""sum"": 288.88507080078125, ""median"": 0.28014925122261047 }","(78.87934684700008, 18.672040560000028, 79.96247775100005, 19.288073780000047)",28-02-2023.geojson,,,,,,
Medak,TSD0010,2771.68,"{ ""min"": 0.30101126432418823, ""max"": 0.3583642840385437, ""mean"": 0.34544907991829926, ""count"": 721, ""sum"": 249.06878662109375, ""median"": 0.34771779179573059 }","(77.79480732300004, 17.664489015000072, 78.58893089700007, 18.215476757000033)",28-02-2023.geojson,,,,,,
