district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Bhadradri Kothagudem,TSD0001,6974.14,"{ ""min"": 25.99444580078125, ""max"": 27.740631103515625, ""mean"": 27.020289267263106, ""count"": 62, ""sum"": 1675.2579345703125, ""median"": 27.051437377929688 }","(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",28-02-2023.geojson,,,,,,
Jagtial,TSD0002,2853.09,"{ ""min"": 25.0889892578125, ""max"": 26.09588623046875, ""mean"": 25.458019550030048, ""count"": 26, ""sum"": 661.90850830078125, ""median"": 25.401199340820312 }","(78.51948718900007, 18.563739734000023, 79.29767471800005, 19.07988819600007)",28-02-2023.geojson,,,,,,
Jangoan,TSD0003,2112.71,"{ ""min"": 24.6075439453125, ""max"": 25.3370361328125, ""mean"": 25.016514828330592, ""count"": 19, ""sum"": 475.31378173828125, ""median"": 25.0706787109375 }","(78.86787166400006, 17.491730369000038, 79.56249112400008, 17.998869741000078)",28-02-2023.geojson,,,,,,
Mulugu,TSD0004,4189.02,"{ ""min"": 25.63397216796875, ""max"": 28.090118408203125, ""mean"": 26.861283585831927, ""count"": 37, ""sum"": 993.86749267578125, ""median"": 26.95123291015625 }","(79.81612732700006, 17.99631982000011, 80.7937048350002, 18.63260770700009)",28-02-2023.geojson,,,,,,
Kamareddy,TSD0005,3701.83,"{ ""min"": 24.3582763671875, ""max"": 25.96881103515625, ""mean"": 25.236349666819851, ""count"": 34, ""sum"": 858.035888671875, ""median"": 25.242965698242188 }","(77.52089201100006, 18.068441783000026, 78.56926485100007, 18.558842766000055)",28-02-2023.geojson,,,,,,
Karimnagar,TSD0006,2127.79,"{ ""min"": 25.5667724609375, ""max"": 25.98468017578125, ""mean"": 25.771655612521702, ""count"": 18, ""sum"": 463.88980102539062, ""median"": 25.770233154296875 }","(78.94956144100007, 18.132462591000035, 79.58025617800001, 18.678822129000025)",28-02-2023.geojson,,,,,,
Khammam,TSD0007,4491.25,"{ ""min"": 25.941925048828125, ""max"": 27.276275634765625, ""mean"": 26.634134432164632, ""count"": 41, ""sum"": 1091.99951171875, ""median"": 26.59197998046875 }","(79.80212475200005, 16.768789670000046, 80.92560532200008, 17.577896090000024)",28-02-2023.geojson,,,,,,
Mahabubabad,TSD0008,3551.04,"{ ""min"": 25.418914794921875, ""max"": 26.625, ""mean"": 26.216138116244611, ""count"": 29, ""sum"": 760.26800537109375, ""median"": 26.301177978515625 }","(79.51293497700004, 17.321621569000058, 80.32312548900006, 18.106543834000092)",28-02-2023.geojson,,,,,,
Mancherial,TSD0009,3909.4,"{ ""min"": 24.642974853515625, ""max"": 26.722747802734375, ""mean"": 25.739528656005859, ""count"": 32, ""sum"": 823.6649169921875, ""median"": 25.825820922851562 }","(78.87934684700008, 18.672040560000028, 79.96247775100005, 19.288073780000047)",28-02-2023.geojson,,,,,,
Medak,TSD0010,2771.68,"{ ""min"": 23.8988037109375, ""max"": 25.429931640625, ""mean"": 24.459541015625, ""count"": 25, ""sum"": 611.488525390625, ""median"": 24.3692626953125 }","(77.79480732300004, 17.664489015000072, 78.58893089700007, 18.215476757000033)",28-02-2023.geojson,,,,,,
Nagarkurnool,TSD0011,6399.07,"{ ""min"": 23.8927001953125, ""max"": 26.182647705078125, ""mean"": 25.163022460937501, ""count"": 50, ""sum"": 1258.151123046875, ""median"": 25.222183227539062 }","(78.10083116400006, 16.00532167600005, 79.23432760400004, 16.830959432000043)",28-02-2023.geojson,,,,,,
Nalgonda,TSD0012,7218.26,"{ ""min"": 24.825042724609375, ""max"": 26.737396240234375, ""mean"": 25.719215393066406, ""count"": 64, ""sum"": 1646.02978515625, ""median"": 25.6676025390625 }","(78.62614167300006, 16.35584791900004, 79.70200312500003, 17.35996707100003)",28-02-2023.geojson,,,,,,
Nirmal,TSD0013,3729.13,"{ ""min"": 24.276397705078125, ""max"": 25.439697265625, ""mean"": 24.940032958984375, ""count"": 32, ""sum"": 798.0810546875, ""median"": 24.988800048828125 }","(77.76173454100007, 18.84522452500005, 78.95237500500008, 19.342882151000026)",28-02-2023.geojson,,,,,,
Nizamabad,TSD0014,4168.33,"{ ""min"": 25.0938720703125, ""max"": 25.98834228515625, ""mean"": 25.512540929457721, ""count"": 34, ""sum"": 867.4263916015625, ""median"": 25.426254272460938 }","(77.73094369300003, 18.43404349700006, 78.64029038200005, 19.015710890000037)",28-02-2023.geojson,,,,,,
Peddapalli,TSD0015,2195.39,"{ ""min"": 25.827056884765625, ""max"": 26.20587158203125, ""mean"": 25.946333143446182, ""count"": 18, ""sum"": 467.03399658203125, ""median"": 25.918701171875 }","(79.11294947900006, 18.385471986000027, 79.83268954900007, 18.854875013000026)",28-02-2023.geojson,,,,,,
Rajanna Sircilla,TSD0016,1897.97,"{ ""min"": 25.0926513671875, ""max"": 25.719512939453125, ""mean"": 25.404790878295898, ""count"": 16, ""sum"": 406.47665405273438, ""median"": 25.4378662109375 }","(78.52078465300008, 18.21376387500004, 79.02266919100003, 18.69041016700004)",28-02-2023.geojson,,,,,,
Sangareddy,TSD0017,4460.37,"{ ""min"": 23.725311279296875, ""max"": 25.72686767578125, ""mean"": 24.616950141059029, ""count"": 36, ""sum"": 886.210205078125, ""median"": 24.7181396484375 }","(77.44416825100006, 17.42785604100004, 78.44886573200006, 18.309307690000026)",28-02-2023.geojson,,,,,,
Siddipet,TSD0018,3637.17,"{ ""min"": 24.18963623046875, ""max"": 25.61199951171875, ""mean"": 24.893314756196119, ""count"": 29, ""sum"": 721.9061279296875, ""median"": 24.860504150390625 }","(78.49289586600008, 17.667265188000044, 79.30335584600004, 18.34315846100003)",28-02-2023.geojson,,,,,,
Vikarabad,TSD0019,3618.96,"{ ""min"": 23.8853759765625, ""max"": 24.811614990234375, ""mean"": 24.354012324892242, ""count"": 29, ""sum"": 706.266357421875, ""median"": 24.3546142578125 }","(77.36247981800005, 16.90300025500005, 78.07315782100005, 17.637813938000022)",28-02-2023.geojson,,,,,,
Wanaparthy,TSD0020,2174.67,"{ ""min"": 24.7138671875, ""max"": 26.062896728515625, ""mean"": 25.23019578721788, ""count"": 18, ""sum"": 454.14352416992188, ""median"": 25.172088623046875 }","(77.65718116, 15.94285645900004, 78.31347526600007, 16.626992442000073)",28-02-2023.geojson,,,,,,
Warangal Rural,TSD0021,2139.98,"{ ""min"": 25.412811279296875, ""max"": 26.502777099609375, ""mean"": 25.892924915660512, ""count"": 22, ""sum"": 569.64434814453125, ""median"": 25.847213745117188 }","(79.47950597500005, 17.619303173000105, 80.04124404200007, 18.279223933000026)",28-02-2023.geojson,,,,,,
Warangal Urban,TSD0022,1294.45,"{ ""min"": 25.2099609375, ""max"": 25.8074951171875, ""mean"": 25.532806396484375, ""count"": 10, ""sum"": 255.32806396484375, ""median"": 25.553955078125 }","(79.23082975700004, 17.786163054000042, 79.67163482100005, 18.266255774000058)",28-02-2023.geojson,,,,,,
Yadadri Bhuvanagiri,TSD0023,3422.72,"{ ""min"": 24.3753662109375, ""max"": 25.61444091796875, ""mean"": 25.106451851981028, ""count"": 28, ""sum"": 702.98065185546875, ""median"": 25.168426513671875 }","(78.68260567800007, 17.04419639500003, 79.45808114400006, 17.812669696000114)",28-02-2023.geojson,,,,,,
Narayanpet,TSD0024,2380.13,"{ ""min"": 24.3790283203125, ""max"": 25.14276123046875, ""mean"": 24.809837341308594, ""count"": 20, ""sum"": 496.19674682617188, ""median"": 24.821380615234375 }","(77.23725451100006, 16.34148046400003, 77.79666638000009, 17.061726844000077)",28-02-2023.geojson,,,,,,
Jogulamba Gadwal,TSD0025,2574.21,"{ ""min"": 24.982696533203125, ""max"": 26.5284423828125, ""mean"": 25.658369584517047, ""count"": 22, ""sum"": 564.484130859375, ""median"": 25.533172607421875 }","(77.48561464400007, 15.836429923000026, 78.25321888900004, 16.362950969000053)",28-02-2023.geojson,,,,,,
