record_number,district,mandal,date,rain_mm,min_temp_c,max_temp_c,min_humidity,max_humidity,min_wind_speed_kmph,max_wind_speed_kmph,month,year
1,Adilabad,Adilabad Rural,2023-04-01,0.0,16.8,29.5,57.1,98.2,0.0,6.8,April,2023
32,Adilabad,Adilabad Urban,2023-04-01,0.0,17.3,30.8,60.1,99.9,0.0,1.7,April,2023
63,Adilabad,Bazarhathnoor,2023-04-01,0.0,15.9,26.4,73.1,99.0,0.0,5.2,April,2023
94,Adilabad,Bela,2023-04-01,0.0,17.7,31.7,48.5,100.0,0.0,5.3,April,2023
125,Adilabad,Bheempoor,2023-04-01,0.0,19.3,29.5,61.5,100.0,0.0,9.9,April,2023
156,Adilabad,Boath,2023-04-01,0.0,15.2,30.4,62.3,95.8,0.0,7.3,April,2023
187,Adilabad,Gadiguda,2023-04-01,0.0,18.2,30.1,52.5,99.9,0.0,8.7,April,2023
218,Adilabad,Gudihathnur,2023-04-01,0.0,19.6,27.9,74.1,95.5,0.0,7.7,April,2023
249,Adilabad,Ichoda,2023-04-01,0.0,17.9,26.4,71.8,96.7,0.0,7.7,April,2023
280,Adilabad,Inderavelly,2023-04-01,0.0,17.5,28.3,58.1,92.6,0.0,7.8,April,2023
311,Adilabad,Jainad,2023-04-01,0.0,16.9,30.0,58.2,100.0,0.0,1.8,April,2023
342,Adilabad,Mavala,2023-04-01,0.0,17.1,29.0,57.2,95.9,0.0,1.7,April,2023
373,Adilabad,Narnoor,2023-04-01,0.0,18.3,28.4,53.2,82.6,0.0,10.3,April,2023
404,Adilabad,Neradigonda,2023-04-01,0.0,16.9,29.0,54.4,94.9,0.0,7.9,April,2023
435,Adilabad,Sirikonda,2023-04-01,0.0,20.4,28.0,67.6,95.5,0.0,7.7,April,2023
466,Adilabad,Talamadugu,2023-04-01,0.0,16.6,29.9,67.6,99.9,0.0,4.6,April,2023
497,Adilabad,Tamsi,2023-04-01,0.0,16.6,28.2,75.2,98.6,0.0,4.7,April,2023
528,Adilabad,Utnur,2023-04-01,0.0,16.5,28.4,57.1,99.0,0.0,11.4,April,2023
559,Bhadradri Kothagudem,Allapalli,2023-04-01,0.0,18.2,32.9,43.0,100.0,0.0,7.4,April,2023
590,Bhadradri Kothagudem,Annapureddipalle,2023-04-01,0.0,19.3,31.4,46.5,100.0,0.0,6.3,April,2023
621,Bhadradri Kothagudem,Aswapuram,2023-04-01,0.0,19.8,32.8,53.0,100.0,,,April,2023
