record_number,district,mandal,date,rain_mm,min_temp_c,max_temp_c,min_humidity,max_humidity,min_wind_speed_kmph,max_wind_speed_kmph,month,year
4,Adilabad,Adilabad Rural,2023-02-01,0.0,14.7,30.2,49.9,94.9,0.0,7.2,February,2023
35,Adilabad,Adilabad Urban,2023-02-01,0.0,15.7,32.9,48.4,99.9,0.0,4.0,February,2023
66,Adilabad,Bazarhathnoor,2023-02-01,0.0,16.3,30.1,54.9,89.2,0.0,6.5,February,2023
97,Adilabad,Bela,2023-02-01,0.0,14.9,32.3,37.6,98.6,0.0,3.0,February,2023
128,Adilabad,Bheempoor,2023-02-01,0.0,16.7,32.3,50.1,99.9,0.0,6.5,February,2023
159,Adilabad,Boath,2023-02-01,0.0,14.2,32.5,46.8,94.8,0.0,6.5,February,2023
190,Adilabad,Gadiguda,2023-02-01,0.0,17.8,33.0,41.2,94.8,0.0,0.2,February,2023
221,Adilabad,Gudihathnur,2023-02-01,0.0,14.5,32.5,55.4,100.0,,,February,2023
252,Adilabad,Ichoda,2023-02-01,0.0,17.4,30.2,54.9,85.5,,,February,2023
283,Adilabad,Inderavelly,2023-02-01,0.0,17.3,31.6,41.8,74.4,0.0,11.1,February,2023
314,Adilabad,Jainad,2023-02-01,0.0,14.1,31.4,44.8,100.0,0.0,4.0,February,2023
345,Adilabad,Mavala,2023-02-01,0.0,14.6,30.4,45.1,95.9,0.0,4.0,February,2023
376,Adilabad,Narnoor,2023-02-01,0.0,17.2,30.4,41.4,88.7,0.0,5.6,February,2023
407,Adilabad,Neradigonda,2023-02-01,0.0,14.4,31.7,45.8,97.8,0.0,7.4,February,2023
438,Adilabad,Sirikonda,2023-02-01,0.0,17.6,31.7,41.8,77.6,0.0,11.1,February,2023
469,Adilabad,Talamadugu,2023-02-01,0.0,14.2,29.7,54.1,98.0,0.0,6.2,February,2023
500,Adilabad,Tamsi,2023-02-01,0.0,15.9,30.5,62.3,98.0,0.0,5.3,February,2023
531,Adilabad,Utnur,2023-02-01,0.0,17.4,31.6,39.9,80.2,0.0,7.9,February,2023
562,Bhadradri Kothagudem,Allapalli,2023-02-01,0.0,17.8,32.3,51.7,100.0,0.0,7.0,February,2023
593,Bhadradri Kothagudem,Annapureddipalle,2023-02-01,0.0,20.9,32.3,45.9,100.0,0.0,5.1,February,2023
624,Bhadradri Kothagudem,Aswapuram,2023-02-01,0.0,19.6,32.9,59.8,100.0,0.0,1.1,February,2023
655,Bhadradri Kothagudem,Aswaraopeta,2023-02-01,0.0,21.2,32.2,51.0,100.0,0.0,7.9,February,2023
686,Bhadradri Kothagudem,Bhadrachalam,2023-02-01,0.0,19.4,32.4,63.7,100.0,,,February,2023
717,Bhadradri Kothagudem,Burgampadu,2023-02-01,0.0,19.5,33.3,67.7,100.0,0.0,3.6,February,2023
748,Bhadradri Kothagudem,Chandrugonda,2023-02-01,0.0,22.0,33.0,41.8,100.0,0.0,8.9,February,2023
779,Bhadradri Kothagudem,Cherla,2023-02-01,0.0,23.0,32.0,70.4,99.9,0.0,5.0,February,2023
810,Bhadradri Kothagudem,Chunchupally,2023-02-01,0.0,19.3,34.3,48.4,88.4,0.0,3.8,February,2023
841,Bhadradri Kothagudem,Dammapeta,2023-02-01,0.0,19.2,33.1,43.1,100.0,0.0,7.0,February,2023
872,Bhadradri Kothagudem,Dummugudem,2023-02-01,0.0,19.6,30.7,66.0,99.6,0.0,1.1,February,2023
903,Bhadradri Kothagudem,Gundala,2023-02-01,0.0,18.0,30.5,52.8,99.0,0.0,11.3,February,2023
934,Bhadradri Kothagudem,Julurpad,2023-02-01,0.0,21.8,33.8,58.3,100.0,0.0,3.0,February,2023
965,Bhadradri Kothagudem,Karakagudem,2023-02-01,0.0,19.3,32.7,51.7,100.0,0.0,7.0,February,2023
996,Bhadradri Kothagudem,Kothagudem,2023-02-01,0.0,19.6,33.0,48.9,94.6,0.0,3.8,February,2023
1027,Bhadradri Kothagudem,Laxmidevipalli,2023-02-01,0.0,19.0,34.0,56.3,95.6,0.0,1.3,February,2023
1058,Bhadradri Kothagudem,Manuguru,2023-02-01,0.0,20.4,32.0,56.0,99.6,0.0,1.1,February,2023
1089,Bhadradri Kothagudem,Mulakalapalle,2023-02-01,0.0,18.9,32.5,60.3,100.0,0.0,3.6,February,2023
1120,Bhadradri Kothagudem,Palawancha,2023-02-01,0.0,18.6,32.3,55.5,99.3,0.0,2.6,February,2023
1151,Bhadradri Kothagudem,Pinapaka,2023-02-01,0.0,20.2,30.6,72.4,100.0,0.0,8.9,February,2023
1182,Bhadradri Kothagudem,Sujathanagar,2023-02-01,0.0,20.0,32.5,41.5,100.0,0.0,3.0,February,2023
1213,Bhadradri Kothagudem,Tekulapalle,2023-02-01,0.0,18.9,32.2,50.3,98.6,0.0,3.4,February,2023
1244,Bhadradri Kothagudem,Yellandu,2023-02-01,0.0,20.4,32.4,55.7,100.0,0.0,4.0,February,2023
1275,Hanumakonda,Atmakur,2023-02-01,0.0,19.1,32.3,55.8,99.9,0.0,7.2,February,2023
1306,Hanumakonda,Bheemadevarapalle,2023-02-01,0.0,18.5,32.7,55.0,99.9,0.0,1.3,February,2023
1337,Hanumakonda,Damera,2023-02-01,0.0,19.2,32.9,48.3,100.0,0.0,9.1,February,2023
1368,Hanumakonda,Dharmasagar,2023-02-01,0.0,19.2,34.0,47.1,92.9,0.0,6.9,February,2023
1399,Hanumakonda,Elkathurthi,2023-02-01,0.0,21.3,31.9,51.6,92.1,0.0,0.6,February,2023
1430,Hanumakonda,Hanumakonda,2023-02-01,0.0,20.7,32.4,60.7,77.9,0.0,3.4,February,2023
1461,Hanumakonda,Hasanparthy,2023-02-01,0.0,20.9,32.2,51.8,94.7,0.0,4.9,February,2023
1492,Hanumakonda,Inole,2023-02-01,0.0,19.9,32.8,37.3,100.0,0.0,9.6,February,2023
1523,Hanumakonda,Kamalapur,2023-02-01,0.0,20.1,32.7,47.6,100.0,0.0,10.7,February,2023
1554,Hanumakonda,Khazipet,2023-02-01,0.0,21.2,31.6,53.7,88.7,0.0,6.9,February,2023
1585,Hanumakonda,Nadikuda,2023-02-01,0.0,19.3,32.9,51.8,100.0,0.0,0.7,February,2023
1616,Hanumakonda,Parkal,2023-02-01,0.0,20.4,31.3,52.6,97.6,0.0,7.8,February,2023
1647,Hanumakonda,Shayampet,2023-02-01,0.0,20.7,32.1,58.2,99.9,0.0,4.4,February,2023
1678,Hanumakonda,Velair,2023-02-01,0.0,18.8,31.6,53.5,98.4,0.0,5.1,February,2023
1709,Hyderabad,Amberpet,2023-02-01,0.0,21.6,31.9,33.6,87.8,0.0,1.6,February,2023
1740,Hyderabad,Ameerpet,2023-02-01,0.0,21.6,32.8,51.2,82.7,0.1,4.1,February,2023
1771,Hyderabad,Asifnagar,2023-02-01,0.0,21.5,33.0,27.8,92.9,0.0,62.7,February,2023
1802,Hyderabad,Bahadurpura,2023-02-01,0.0,20.2,34.1,27.4,88.6,0.0,65.1,February,2023
1833,Hyderabad,Bandlaguda,2023-02-01,0.0,20.1,31.6,35.4,86.5,0.0,6.5,February,2023
1864,Hyderabad,Charminar,2023-02-01,0.0,20.7,33.0,33.7,79.5,0.0,3.5,February,2023
1895,Hyderabad,Golkonda,2023-02-01,0.0,18.4,32.4,33.9,97.8,0.0,5.0,February,2023
