record_number,district,mandal,date,rain_mm,min_temp_c,max_temp_c,min_humidity,max_humidity,min_wind_speed_kmph,max_wind_speed_kmph,month,year
5,Adilabad,Adilabad Rural,2023-01-01,0.0,15.0,31.4,42.8,94.9,0.0,9.5,January,2023
13,Adilabad,Adilabad Rural,2023-01-13,0.0,12.7,32.9,29.5,87.9,0.0,6.4,January,2023
14,Adilabad,Adilabad Rural,2023-01-14,0.0,14.2,31.7,35.9,89.5,0.0,8.3,January,2023
15,Adilabad,Adilabad Rural,2023-01-15,0.0,14.1,30.4,45.3,96.4,0.0,7.5,January,2023
16,Adilabad,Adilabad Rural,2023-01-16,0.0,15.2,28.3,53.6,97.0,0.0,11.8,January,2023
17,Adilabad,Adilabad Rural,2023-01-17,0.0,17.3,33.0,38.7,85.5,0.0,14.5,January,2023
18,Adilabad,Adilabad Rural,2023-01-18,0.0,17.5,32.8,38.7,93.0,0.0,13.2,January,2023
19,Adilabad,Adilabad Rural,2023-01-19,0.0,17.3,32.8,42.2,85.5,0.0,9.0,January,2023
20,Adilabad,Adilabad Rural,2023-01-20,0.0,17.2,32.5,39.9,86.4,0.0,10.8,January,2023
21,Adilabad,Adilabad Rural,2023-01-21,0.0,17.3,32.2,38.7,86.4,2.0,15.2,January,2023
22,Adilabad,Adilabad Rural,2023-01-22,0.0,16.6,32.2,38.2,80.7,0.0,13.9,January,2023
23,Adilabad,Adilabad Rural,2023-01-23,0.0,15.9,32.8,37.0,73.0,0.0,13.3,January,2023
24,Adilabad,Adilabad Rural,2023-01-24,0.0,18.2,31.9,39.3,77.6,0.4,14.1,January,2023
25,Adilabad,Adilabad Rural,2023-01-25,0.0,19.0,31.8,35.6,69.3,0.6,19.4,January,2023
26,Adilabad,Adilabad Rural,2023-01-26,0.0,15.9,32.2,32.7,90.2,0.0,17.6,January,2023
27,Adilabad,Adilabad Rural,2023-01-27,0.0,13.8,32.7,22.7,81.0,0.0,11.2,January,2023
28,Adilabad,Adilabad Rural,2023-01-28,0.0,15.6,31.3,42.8,89.5,0.0,11.7,January,2023
29,Adilabad,Adilabad Rural,2023-01-29,0.0,15.4,31.5,45.1,86.2,0.0,11.9,January,2023
30,Adilabad,Adilabad Rural,2023-01-30,0.0,18.0,32.8,36.4,72.0,0.0,13.7,January,2023
31,Adilabad,Adilabad Rural,2023-01-31,0.0,17.6,31.5,46.4,85.5,0.0,13.9,January,2023
36,Adilabad,Adilabad Urban,2023-01-01,0.0,16.5,34.8,42.3,99.9,0.0,1.5,January,2023
44,Adilabad,Adilabad Urban,2023-01-13,0.0,13.2,33.8,32.1,97.2,0.0,3.0,January,2023
45,Adilabad,Adilabad Urban,2023-01-14,0.0,13.6,33.9,32.3,99.9,0.0,4.7,January,2023
46,Adilabad,Adilabad Urban,2023-01-15,0.0,13.8,32.9,42.9,99.9,0.0,0.9,January,2023
47,Adilabad,Adilabad Urban,2023-01-16,0.0,14.0,32.2,49.0,99.9,0.0,2.5,January,2023
48,Adilabad,Adilabad Urban,2023-01-17,0.0,17.6,34.3,40.2,99.9,0.0,1.5,January,2023
49,Adilabad,Adilabad Urban,2023-01-18,0.0,17.6,33.5,36.9,99.9,0.0,4.4,January,2023
50,Adilabad,Adilabad Urban,2023-01-19,0.0,16.5,33.7,39.1,99.9,0.0,2.8,January,2023
51,Adilabad,Adilabad Urban,2023-01-20,0.0,16.9,33.3,34.9,99.9,0.0,4.6,January,2023
52,Adilabad,Adilabad Urban,2023-01-21,0.0,17.4,33.7,36.8,90.2,0.0,7.2,January,2023
53,Adilabad,Adilabad Urban,2023-01-22,0.0,15.6,33.8,39.9,99.9,0.0,2.8,January,2023
