record_number,district,mandal,date,rain_mm,min_temp_c,max_temp_c,min_humidity,max_humidity,min_wind_speed_kmph,max_wind_speed_kmph,month,year
8,Adilabad,Adilabad Rural,2023-03-01,0.0,16.4,28.3,54.6,98.2,0.0,10.0,March,2023
39,Adilabad,Adilabad Urban,2023-03-01,0.0,18.5,32.3,53.3,99.9,0.0,5.3,March,2023
70,Adilabad,Bazarhathnoor,2023-03-01,0.0,15.8,29.5,60.4,98.0,0.0,3.8,March,2023
101,Adilabad,Bela,2023-03-01,0.0,16.6,30.5,41.1,100.0,0.0,7.5,March,2023
132,Adilabad,Bheempoor,2023-03-01,0.0,19.2,32.3,54.6,99.9,0.0,4.5,March,2023
163,Adilabad,Boath,2023-03-01,0.0,15.8,30.5,47.3,95.1,0.0,7.5,March,2023
194,Adilabad,Gadiguda,2023-03-01,0.0,17.4,30.6,51.1,99.9,0.0,7.5,March,2023
225,Adilabad,Gudihathnur,2023-03-01,0.0,17.6,30.2,62.7,100.0,,,March,2023
256,Adilabad,Ichoda,2023-03-01,0.0,16.3,29.2,61.5,95.5,,,March,2023
287,Adilabad,Inderavelly,2023-03-01,0.0,17.1,30.0,50.0,94.5,0.0,8.6,March,2023
318,Adilabad,Jainad,2023-03-01,0.0,16.8,29.5,49.2,100.0,0.0,5.3,March,2023
349,Adilabad,Mavala,2023-03-01,0.0,17.4,29.1,50.2,93.6,0.0,5.3,March,2023
380,Adilabad,Narnoor,2023-03-01,0.0,18.3,29.5,48.6,83.7,0.0,8.9,March,2023
411,Adilabad,Neradigonda,2023-03-01,0.0,16.6,32.0,47.5,95.6,0.0,5.8,March,2023
442,Adilabad,Sirikonda,2023-03-01,0.0,18.3,29.7,56.4,92.7,0.0,8.6,March,2023
473,Adilabad,Talamadugu,2023-03-01,0.0,16.9,32.1,59.4,98.3,0.0,4.8,March,2023
504,Adilabad,Tamsi,2023-03-01,0.0,18.4,29.6,65.5,96.8,0.0,4.9,March,2023
535,Adilabad,Utnur,2023-03-01,0.0,17.8,29.6,52.2,98.8,0.0,10.2,March,2023
566,Bhadradri Kothagudem,Allapalli,2023-03-01,0.0,17.5,32.0,49.7,99.9,0.0,4.4,March,2023
597,Bhadradri Kothagudem,Annapureddipalle,2023-03-01,0.0,19.4,31.3,49.3,100.0,0.0,20.3,March,2023
628,Bhadradri Kothagudem,Aswapuram,2023-03-01,0.0,20.1,32.7,54.0,100.0,0.0,0.1,March,2023
659,Bhadradri Kothagudem,Aswaraopeta,2023-03-01,0.0,19.9,31.1,59.5,100.0,0.0,10.1,March,2023
690,Bhadradri Kothagudem,Bhadrachalam,2023-03-01,0.0,19.8,32.2,61.4,100.0,0.0,0.5,March,2023
721,Bhadradri Kothagudem,Burgampadu,2023-03-01,0.0,20.0,32.5,68.9,100.0,0.0,2.3,March,2023
