record_number,district,mandal,date,rain_mm,min_temp_c,max_temp_c,min_humidity,max_humidity,min_wind_speed_kmph,max_wind_speed_kmph,month,year
10,Adilabad,Adilabad Rural,2023-11-01,0.0,9.3,29.9,28.3,88.6,0.0,9.3,November,2023
41,Adilabad,Adilabad Urban,2023-11-01,0.0,10.9,32.7,25.5,99.8,0.0,3.5,November,2023
72,Adilabad,Bazarhathnoor,2023-11-01,0.0,7.8,29.0,31.5,92.3,0.0,5.7,November,2023
103,Adilabad,Bela,2023-11-01,0.0,8.5,32.9,13.1,92.6,0.0,4.4,November,2023
134,Adilabad,Bheempoor,2023-11-01,0.0,11.6,30.9,24.1,95.6,0.0,4.8,November,2023
165,Adilabad,Boath,2023-11-01,0.0,8.5,31.2,27.1,86.8,0.0,5.7,November,2023
196,Adilabad,Gadiguda,2023-11-01,0.0,12.1,32.5,22.3,87.8,0.0,4.4,November,2023
227,Adilabad,Gudihathnur,2023-11-01,0.0,12.3,32.6,30.5,87.4,,,November,2023
258,Adilabad,Ichoda,2023-11-01,0.0,11.6,29.8,28.5,75.2,,,November,2023
289,Adilabad,Inderavelly,2023-11-01,0.0,12.4,31.0,26.9,73.3,1.0,10.7,November,2023
320,Adilabad,Jainad,2023-11-01,0.0,8.5,32.9,15.7,100.0,0.0,4.0,November,2023
351,Adilabad,Mavala,2023-11-01,0.0,11.4,31.4,23.4,89.4,0.0,3.5,November,2023
382,Adilabad,Narnoor,2023-11-01,0.0,12.0,29.8,26.4,87.0,0.0,8.3,November,2023
413,Adilabad,Neradigonda,2023-11-01,0.0,8.9,32.7,23.9,82.9,0.0,6.5,November,2023
444,Adilabad,Sirikonda,2023-11-01,0.0,14.0,32.8,27.7,87.1,1.0,10.7,November,2023
475,Adilabad,Talamadugu,2023-11-01,0.0,10.5,30.8,31.0,100.0,0.0,7.1,November,2023
506,Adilabad,Tamsi,2023-11-01,0.0,12.0,30.8,40.2,91.0,0.0,5.8,November,2023
537,Adilabad,Utnur,2023-11-01,0.0,11.0,31.7,20.1,86.2,0.0,8.4,November,2023
568,Bhadradri Kothagudem,Allapalli,2023-11-01,0.0,10.6,32.5,21.4,94.6,0.0,6.1,November,2023
599,Bhadradri Kothagudem,Annapureddipalle,2023-11-01,0.0,14.4,32.5,26.1,100.0,0.0,4.5,November,2023
630,Bhadradri Kothagudem,Aswapuram,2023-11-01,0.0,13.0,34.0,32.0,100.0,,,November,2023
661,Bhadradri Kothagudem,Aswaraopeta,2023-11-01,0.0,14.7,32.4,34.5,100.0,0.0,5.6,November,2023
692,Bhadradri Kothagudem,Bhadrachalam,2023-11-01,0.0,13.2,32.5,39.5,100.0,,,November,2023
723,Bhadradri Kothagudem,Burgampadu,2023-11-01,0.0,13.9,32.8,46.7,100.0,0.0,5.1,November,2023
754,Bhadradri Kothagudem,Chandrugonda,2023-11-01,0.0,14.3,32.9,19.8,100.0,0.0,0.3,November,2023
785,Bhadradri Kothagudem,Cherla,2023-11-01,0.0,13.4,32.0,47.2,97.5,0.0,9.4,November,2023
816,Bhadradri Kothagudem,Chunchupally,2023-11-01,0.0,11.7,33.0,27.6,89.3,0.0,4.5,November,2023
847,Bhadradri Kothagudem,Dammapeta,2023-11-01,0.0,12.8,33.3,27.8,100.0,0.0,5.2,November,2023
878,Bhadradri Kothagudem,Dummugudem,2023-11-01,0.0,14.0,31.0,41.6,97.1,,,November,2023
909,Bhadradri Kothagudem,Gundala,2023-11-01,0.0,10.9,30.9,20.8,100.0,0.0,8.8,November,2023
940,Bhadradri Kothagudem,Julurpad,2023-11-01,0.0,16.7,34.6,30.5,96.9,,,November,2023
971,Bhadradri Kothagudem,Karakagudem,2023-11-01,0.0,11.8,33.3,24.6,99.3,0.0,4.6,November,2023
1002,Bhadradri Kothagudem,Kothagudem,2023-11-01,0.0,12.3,33.0,38.4,97.6,0.0,5.1,November,2023
1033,Bhadradri Kothagudem,Laxmidevipalli,2023-11-01,0.0,11.7,31.9,31.1,93.0,0.0,3.6,November,2023
1064,Bhadradri Kothagudem,Manuguru,2023-11-01,0.0,14.3,32.7,27.0,96.2,,,November,2023
1095,Bhadradri Kothagudem,Mulakalapalle,2023-11-01,0.0,12.9,32.1,53.1,100.0,0.0,5.1,November,2023
1126,Bhadradri Kothagudem,Palawancha,2023-11-01,0.0,12.6,35.2,26.4,96.3,0.0,4.9,November,2023
1157,Bhadradri Kothagudem,Pinapaka,2023-11-01,0.0,12.9,32.2,24.8,100.0,0.0,9.4,November,2023
1188,Bhadradri Kothagudem,Sujathanagar,2023-11-01,0.0,13.1,31.7,20.5,95.5,0.0,4.4,November,2023
1219,Bhadradri Kothagudem,Tekulapalle,2023-11-01,0.0,12.9,31.9,25.1,97.0,0.0,5.1,November,2023
1250,Bhadradri Kothagudem,Yellandu,2023-11-01,0.0,14.5,32.8,30.2,100.0,0.0,3.3,November,2023
1281,Hanumakonda,Atmakur,2023-11-01,0.0,13.0,32.1,32.3,99.9,0.0,8.2,November,2023
1312,Hanumakonda,Bheemadevarapalle,2023-11-01,0.0,10.9,29.9,32.5,82.3,,,November,2023
1343,Hanumakonda,Damera,2023-11-01,0.0,12.8,32.0,19.3,100.0,0.0,7.6,November,2023
1374,Hanumakonda,Dharmasagar,2023-11-01,0.0,13.1,31.9,29.2,83.8,0.0,6.1,November,2023
1405,Hanumakonda,Elkathurthi,2023-11-01,0.0,15.1,32.2,31.6,84.0,0.0,0.5,November,2023
1436,Hanumakonda,Hanumakonda,2023-11-01,0.0,13.5,32.4,45.3,89.9,0.0,4.6,November,2023
1467,Hanumakonda,Hasanparthy,2023-11-01,0.0,13.9,32.5,25.4,93.7,0.0,4.1,November,2023
1498,Hanumakonda,Inole,2023-11-01,0.0,13.1,32.5,14.7,100.0,0.0,10.8,November,2023
1529,Hanumakonda,Kamalapur,2023-11-01,0.0,14.1,32.7,19.3,100.0,0.0,6.2,November,2023
1560,Hanumakonda,Khazipet,2023-11-01,0.0,13.6,31.6,32.0,85.0,0.0,6.1,November,2023
1591,Hanumakonda,Nadikuda,2023-11-01,0.0,13.0,31.1,31.1,100.0,0.0,20.1,November,2023
