record_number,district,mandal,date,rain_mm,min_temp_c,max_temp_c,min_humidity,max_humidity,min_wind_speed_kmph,max_wind_speed_kmph,month,year
11,Adilabad,Adilabad Rural,2023-10-01,0.0,9.0,27.9,27.4,81.7,0.0,9.9,October,2023
42,Adilabad,Adilabad Urban,2023-10-01,0.0,6.7,30.4,27.4,99.0,0.0,5.7,October,2023
73,Adilabad,Bazarhathnoor,2023-10-01,0.0,6.5,28.1,32.2,93.2,0.0,6.4,October,2023
104,Adilabad,Bela,2023-10-01,0.0,6.8,31.2,11.0,94.0,,,October,2023
135,Adilabad,Bheempoor,2023-10-01,0.0,9.2,32.2,20.4,95.1,0.0,6.0,October,2023
166,Adilabad,Boath,2023-10-01,0.0,8.0,32.1,24.3,86.7,0.0,6.6,October,2023
197,Adilabad,Gadiguda,2023-10-01,0.0,9.7,30.1,18.8,86.8,0.0,0.1,October,2023
228,Adilabad,Gudihathnur,2023-10-01,0.0,11.9,30.4,30.5,83.1,,,October,2023
259,Adilabad,Ichoda,2023-10-01,0.0,10.9,29.0,29.2,87.7,,,October,2023
290,Adilabad,Inderavelly,2023-10-01,0.0,11.0,29.4,24.6,71.4,0.0,8.2,October,2023
321,Adilabad,Jainad,2023-10-01,0.0,6.9,30.9,17.1,100.0,0.0,5.7,October,2023
352,Adilabad,Mavala,2023-10-01,0.0,7.1,29.8,23.8,89.0,0.0,5.7,October,2023
383,Adilabad,Narnoor,2023-10-01,0.0,10.9,29.2,21.8,85.5,0.0,0.1,October,2023
414,Adilabad,Neradigonda,2023-10-01,0.0,7.6,31.0,20.7,83.1,0.0,8.8,October,2023
445,Adilabad,Sirikonda,2023-10-01,0.0,11.9,28.9,26.5,86.8,0.0,8.2,October,2023
476,Adilabad,Talamadugu,2023-10-01,0.0,9.1,32.9,30.6,100.0,0.0,5.8,October,2023
507,Adilabad,Tamsi,2023-10-01,0.0,9.1,30.0,41.6,91.9,0.0,6.9,October,2023
